iter	RMSE
0	13.6434819
1	13.19974905
2	12.7618304
3	12.32880239
4	11.92891068
5	11.52998275
6	11.15544325
7	10.80054934
8	10.45202581
9	10.09566208
10	9.771704459
11	9.454758602
12	9.143741324
13	8.833887308
14	8.539386744
15	8.28545636
16	8.0038213
17	7.762452428
18	7.517991261
19	7.268343807
20	7.029345749
21	6.810712834
22	6.595081714
23	6.385222383
24	6.173692563
25	5.972924598
26	5.785877227
27	5.603807478
28	5.441016231
29	5.26895035
30	5.112311142
31	4.94602135
32	4.800078371
33	4.654497197
34	4.505363694
35	4.389061212
36	4.264725048
37	4.133843425
38	4.005930163
39	3.883027491
40	3.771036062
41	3.658440008
42	3.54782015
43	3.440812794
44	3.338185137
45	3.238732944
46	3.149752572
47	3.061653765
48	2.973552668
49	2.885751188
50	2.80414812
51	2.724106573
52	2.650503135
53	2.576211513
54	2.511537094
55	2.448469968
56	2.387440017
57	2.324542295
58	2.262509756
59	2.202974822
60	2.141115558
61	2.084310323
62	2.030016441
63	1.974727683
64	1.921325943
65	1.869845295
66	1.82136001
67	1.776076972
68	1.731076539
69	1.686669107
70	1.643331032
71	1.599032438
72	1.557727233
73	1.516969993
74	1.479003217
75	1.442086589
76	1.4093915
77	1.37748227
78	1.344892395
79	1.310677174
80	1.280641096
81	1.250191964
82	1.223468993
83	1.197223707
84	1.17112599
85	1.144739893
86	1.123586817
87	1.101274977
88	1.075891105
89	1.051994654
90	1.028757522
91	1.007447687
92	0.9893464702
93	0.9719293476
94	0.954421243
95	0.9367922416
96	0.9193468275
97	0.9021720366
98	0.8854818744
99	0.8697963869
100	0.8551032634
101	0.8397029374
102	0.8270808525
103	0.8137483959
104	0.8007306112
105	0.7889142447
106	0.776299162
107	0.7632801425
108	0.7520593515
109	0.7419328074
110	0.7320571247
111	0.7218850709
112	0.7191563867
113	0.7091969098
114	0.699244989
115	0.6897839199
116	0.6806256717
117	0.6782002074
118	0.6691890031
119	0.6605496444
120	0.652186368
121	0.6439580516
122	0.6359676257
123	0.6285592922
124	0.6218006946
125	0.6155968894
126	0.609825464
127	0.605325301
128	0.597921974
129	0.5920686747
130	0.5878677416
131	0.5828576884
132	0.5783927498
133	0.57633287
134	0.5709986043
135	0.5673368816
136	0.562866338
137	0.5609991248
138	0.5585983715
139	0.5538649181
140	0.5523843988
141	0.5513230485
142	0.5474191554
143	0.5460056514
144	0.5445200317
145	0.5395806081
146	0.536029886
147	0.5345283835
148	0.5332396283
149	0.5296788274
150	0.5254841568
151	0.5242637075
152	0.5212198539
153	0.5185202892
154	0.5152768542
155	0.5109657193
156	0.5066160289
157	0.5051059485
158	0.5040548586
159	0.5026706799
160	0.4992742122
161	0.495356815
162	0.491723022
163	0.4902151374
164	0.4886971339
165	0.4874730319
166	0.4863655323
167	0.4854556609
168	0.4831293013
169	0.4824474258
170	0.4815349389
171	0.480613718
172	0.4789976815
173	0.4758231974
174	0.4749489441
175	0.4726341078
176	0.471892287
177	0.4711629445
178	0.4701207222
179	0.469034805
180	0.4683172281
181	0.4673951006
182	0.4664652108
183	0.4633446213
184	0.4624989232
185	0.4602430547
186	0.4592776928
187	0.4574062541
188	0.4565224886
189	0.4556259571
190	0.4548055955
191	0.4527928427
192	0.4520342057
193	0.4514663371
194	0.4509826123
195	0.4500411025
196	0.4494167013
197	0.4487818341
198	0.446706749
199	0.4461341119
200	0.4455940634
201	0.4429491419
202	0.4410214527
203	0.4403227709
204	0.4380961449
205	0.4375900658
206	0.4370244475
207	0.4354950536
208	0.4335548237
209	0.4331245964
210	0.4310675429
211	0.430487761
212	0.4280611055
213	0.4274500783
214	0.4270796975
215	0.4265852745
216	0.4260871467
217	0.4240105445
218	0.4211658492
219	0.4205784515
220	0.4201561236
221	0.4196398734
222	0.4191351596
223	0.4169221171
224	0.4148264544
225	0.4144359309
226	0.4140532803
227	0.4119171985
228	0.4114677277
229	0.4108798844
230	0.4085844607
231	0.4081873467
232	0.4061100865
233	0.405584613
234	0.4051803008
235	0.4045934176
236	0.4041718552
237	0.4021562874
238	0.400071749
239	0.3995940711
240	0.3974566767
241	0.3971600634
242	0.3953633759
243	0.394871617
244	0.3943545866
245	0.3919600628
246	0.3915588763
247	0.3898582117
248	0.3893234053
249	0.3890089182
250	0.3884957872
251	0.3867585027
252	0.3851024585
253	0.3835179929
254	0.3832285348
255	0.3829322672
256	0.3816324027
257	0.379722386
258	0.3780584599
259	0.3763387245
260	0.3759635204
261	0.3756934177
262	0.3742143897
263	0.3739558658
264	0.3737177903
265	0.3726593214
266	0.3708757847
267	0.3693641496
268	0.3690642643
269	0.3680631058
270	0.3677467804
271	0.3675153386
272	0.3660274856
273	0.3655062077
274	0.3650000209
275	0.3647893068
276	0.3624550766
277	0.3622747426
278	0.3620671717
279	0.3616934447
280	0.3614380119
281	0.3597883394
282	0.358536524
283	0.3583468256
284	0.3573375856
285	0.3566053636
286	0.3562824755
287	0.3545445011
288	0.352454814
289	0.3521879132
290	0.3519622769
291	0.3505891861
292	0.3503794176
293	0.3489747736
294	0.3486846279
295	0.347138195
296	0.3469354923
297	0.3456097394
298	0.3445259674
299	0.3441419937
300	0.343959412
301	0.3437818668
302	0.3425016468
303	0.3416575544
304	0.3412862616
305	0.340162279
306	0.3393806388
307	0.3392179292
308	0.3390597084
309	0.3389058431
310	0.3377012377
311	0.336716086
312	0.3357712488
313	0.3341755504
314	0.3325875931
315	0.3322560163
316	0.3313263945
317	0.3301266552
318	0.3299870303
319	0.3287294805
320	0.3280672697
321	0.3274426367
322	0.3271489547
323	0.3270379836
324	0.3262332677
325	0.3254086008
326	0.3245790342
327	0.3244590865
328	0.3239624522
329	0.3227162196
330	0.3219967304
331	0.3217408653
332	0.3208980346
333	0.3208108342
334	0.3201142628
335	0.3189824153
336	0.317620431
337	0.3173302446
