iter	Passed	Remaining
0	172	172342
1	174	86855
2	175	58234
3	176	43908
4	177	35296
5	178	29548
6	179	25487
7	181	22447
8	182	20055
9	183	18139
10	184	16564
11	185	15251
12	186	14133
13	187	13174
14	187	12343
15	189	11644
16	190	11020
17	191	10455
18	192	9944
19	193	9480
20	194	9062
21	195	8684
22	196	8352
23	197	8044
24	198	7751
25	199	7479
26	200	7227
27	201	6996
28	202	6769
29	203	6568
30	204	6379
31	204	6200
32	205	6033
33	206	5876
34	207	5728
35	208	5586
36	209	5453
37	210	5333
38	212	5232
39	213	5117
40	214	5009
41	215	4905
42	215	4806
43	216	4711
44	217	4620
45	218	4534
46	219	4450
47	220	4371
48	221	4297
49	222	4224
50	223	4153
51	224	4085
52	225	4029
53	226	3972
54	227	3910
55	228	3851
56	229	3794
57	230	3739
58	231	3685
59	231	3633
60	232	3583
61	233	3534
62	234	3487
63	235	3441
64	236	3396
65	236	3353
66	237	3311
67	238	3271
68	239	3234
69	241	3202
70	242	3168
71	243	3134
72	244	3099
73	245	3067
74	246	3035
75	246	3002
76	247	2971
77	248	2940
78	249	2910
79	250	2881
80	251	2852
81	252	2823
82	253	2796
83	254	2769
84	255	2745
85	256	2726
86	257	2702
87	258	2677
88	259	2652
89	260	2629
90	260	2605
91	261	2582
92	262	2560
93	263	2538
94	264	2516
95	265	2495
96	265	2475
97	266	2455
98	267	2436
99	268	2417
100	269	2397
101	270	2381
102	271	2366
103	272	2348
104	273	2330
105	274	2312
106	275	2295
107	275	2278
108	276	2261
109	277	2245
110	278	2229
111	279	2213
112	279	2193
113	280	2178
114	281	2163
115	282	2149
116	282	2134
117	283	2120
118	284	2106
119	285	2093
120	286	2081
121	287	2069
122	288	2055
123	289	2042
124	289	2029
125	290	2016
126	291	2003
127	292	1991
128	293	1980
129	294	1968
130	294	1956
131	295	1944
132	296	1933
133	297	1921
134	298	1910
135	299	1899
136	299	1888
137	300	1878
138	301	1868
139	302	1859
140	303	1847
141	303	1833
142	304	1823
143	304	1812
144	305	1801
145	306	1791
146	307	1782
147	307	1772
148	308	1761
149	309	1752
150	310	1743
151	310	1732
152	311	1723
153	312	1715
154	313	1706
155	313	1698
156	314	1689
157	315	1681
158	316	1675
159	317	1666
160	318	1659
161	319	1652
162	320	1645
163	321	1639
164	322	1632
165	323	1626
166	324	1619
167	325	1611
168	326	1604
169	326	1594
170	327	1585
171	327	1576
172	328	1569
173	329	1563
174	330	1557
175	332	1554
176	332	1546
177	333	1538
178	334	1532
179	334	1523
180	334	1515
181	335	1509
182	336	1502
183	337	1496
184	338	1489
185	339	1483
186	339	1478
187	340	1472
188	341	1465
189	342	1460
190	343	1455
191	344	1449
192	345	1445
193	346	1439
194	346	1432
195	347	1427
196	348	1422
197	349	1416
198	350	1411
199	351	1405
200	351	1398
201	352	1393
202	353	1387
203	354	1382
204	355	1377
205	355	1371
206	356	1364
207	357	1359
208	357	1354
209	358	1347
210	359	1342
211	359	1336
212	360	1333
213	361	1327
214	361	1320
215	362	1316
216	363	1310
217	363	1305
218	364	1300
219	365	1294
220	366	1290
221	366	1285
222	367	1281
223	368	1276
224	369	1272
225	370	1267
226	370	1263
227	371	1258
228	372	1254
229	373	1250
230	374	1245
231	374	1240
232	375	1237
233	377	1234
234	377	1230
235	378	1225
236	379	1221
237	380	1217
238	381	1214
239	382	1211
240	383	1207
241	384	1203
242	384	1199
243	385	1195
244	386	1191
245	387	1187
246	387	1182
247	388	1178
248	389	1174
249	389	1169
250	390	1166
251	391	1163
252	392	1159
253	393	1156
254	393	1151
255	394	1147
256	395	1143
257	396	1140
258	397	1136
259	398	1133
260	398	1129
261	399	1125
262	400	1122
263	401	1118
264	401	1114
265	402	1110
266	403	1107
267	404	1103
268	404	1100
269	406	1098
270	407	1095
271	407	1091
272	408	1088
273	409	1085
274	410	1082
275	411	1079
276	412	1075
277	412	1072
278	413	1069
279	414	1066
280	415	1062
281	416	1059
282	417	1056
283	417	1053
284	418	1050
285	419	1047
286	420	1044
287	421	1042
288	422	1040
289	423	1037
290	424	1034
291	425	1031
292	426	1028
293	427	1025
294	427	1022
295	428	1019
296	429	1016
297	430	1013
298	431	1010
299	431	1007
300	432	1004
301	433	1002
302	434	999
303	435	996
304	435	992
305	436	990
306	437	988
307	438	986
308	439	983
309	440	980
310	441	977
311	442	974
312	442	972
313	443	969
314	444	966
315	445	964
316	446	961
317	447	958
318	447	956
319	448	953
320	449	950
321	450	948
322	451	946
323	452	945
324	453	942
325	454	940
326	455	938
327	456	936
328	457	933
329	458	931
330	459	928
331	460	926
332	461	923
333	461	920
334	462	918
335	463	915
336	464	913
337	464	910
338	465	908
339	466	906
340	468	904
341	468	902
342	469	899
343	470	897
344	471	894
345	472	892
346	472	889
347	473	887
348	474	885
349	475	882
350	475	880
351	476	877
352	477	875
353	478	873
354	479	870
355	480	868
356	480	866
357	482	864
358	483	862
359	484	860
360	484	858
361	485	856
362	486	853
363	487	851
364	488	849
365	489	847
366	490	845
367	490	842
368	491	840
369	492	838
370	492	835
371	493	833
372	494	831
373	495	829
374	496	827
375	497	825
376	498	823
377	499	821
378	500	819
379	501	817
380	501	815
381	502	813
382	503	811
383	504	809
384	505	807
385	506	805
386	506	802
387	507	800
388	508	798
389	509	796
390	510	794
391	511	792
392	512	790
393	513	789
394	514	787
395	515	785
396	516	783
397	516	781
398	517	779
399	518	778
400	519	776
401	520	774
402	521	772
403	522	770
404	522	768
405	523	766
406	524	764
407	525	762
408	526	760
409	526	758
410	528	757
411	529	755
412	530	753
413	531	751
414	531	749
415	532	747
416	533	745
417	534	744
418	535	742
419	535	740
420	536	738
421	537	736
422	538	734
423	539	732
424	540	730
425	540	728
426	541	727
427	542	725
428	543	724
429	545	722
430	546	721
431	547	719
432	548	717
433	549	716
434	549	714
435	550	712
436	551	710
437	552	708
438	553	706
439	553	705
440	554	703
441	555	701
442	556	699
443	557	697
444	558	696
445	559	695
446	560	693
447	561	691
448	562	689
449	562	687
450	563	686
451	564	684
452	565	682
453	566	680
454	567	679
455	567	677
456	568	675
457	569	673
458	570	672
459	571	670
460	571	668
461	572	667
462	574	665
463	575	664
464	576	662
465	576	661
466	577	659
467	578	657
468	579	655
469	580	654
470	580	652
471	581	650
472	582	649
473	583	647
474	584	645
475	585	644
476	585	642
477	586	640
478	587	639
479	588	637
480	589	636
481	590	634
482	591	633
483	592	631
484	593	629
485	593	628
486	594	626
487	595	624
488	596	623
489	597	621
490	598	620
491	598	618
492	599	616
493	600	615
494	601	613
495	602	612
496	603	610
497	604	609
498	605	607
499	606	606
500	606	604
501	607	602
502	608	601
503	609	599
504	610	598
505	611	596
506	612	595
507	612	593
508	613	591
509	614	590
510	615	588
511	616	587
512	616	585
513	617	584
514	618	582
515	619	581
516	621	580
517	621	578
518	622	577
519	623	575
520	624	574
521	625	572
522	626	571
523	626	569
524	627	567
525	628	566
526	629	564
527	630	563
528	631	561
529	631	560
530	632	558
531	633	557
532	634	556
533	635	554
534	636	553
535	638	552
536	638	550
537	639	549
538	640	548
539	641	546
540	642	545
541	643	543
542	644	542
543	645	540
544	645	539
545	646	537
546	647	536
547	648	534
548	649	533
549	650	532
550	651	530
551	652	529
552	653	527
553	653	526
554	654	524
555	655	523
556	656	522
557	657	520
558	658	519
559	658	517
560	659	516
561	660	514
562	661	513
563	662	511
564	663	510
565	663	509
566	664	507
567	665	506
568	666	505
569	667	503
570	668	502
571	669	500
572	670	499
573	671	498
574	671	496
575	672	495
576	673	493
577	674	492
578	675	491
579	676	489
580	676	488
581	677	486
582	678	485
583	679	483
584	680	482
585	681	481
586	682	480
587	684	479
588	684	477
589	686	476
590	687	475
591	688	474
592	689	472
593	689	471
594	690	470
595	691	468
596	692	467
597	693	466
598	695	465
599	696	464
600	697	462
601	698	461
602	698	460
603	699	458
604	700	457
605	701	456
606	702	454
607	703	453
608	703	451
609	704	450
610	705	449
611	706	447
612	707	446
613	708	445
614	708	443
615	709	442
616	711	441
617	712	440
618	713	438
619	713	437
620	714	436
621	715	434
622	716	433
623	717	432
624	718	430
625	718	429
626	719	428
627	720	426
628	721	425
629	722	424
630	723	422
631	723	421
632	724	420
633	725	419
634	727	417
635	728	416
636	729	415
637	730	414
638	730	412
639	731	411
640	732	410
641	733	408
642	734	407
643	735	406
644	736	405
645	736	403
646	737	402
647	738	401
648	739	399
649	740	398
650	741	397
651	742	396
652	743	394
653	744	393
654	744	392
655	745	391
656	747	390
657	748	389
658	749	387
659	750	386
660	751	385
661	752	384
662	753	382
663	753	381
664	754	380
665	756	379
666	757	378
667	758	376
668	758	375
669	759	374
670	760	372
671	761	371
672	762	370
673	763	369
674	764	368
675	765	367
676	767	365
677	768	364
678	769	363
679	769	362
680	770	361
681	772	360
682	773	358
683	774	357
684	775	356
685	776	355
686	777	354
687	778	353
688	779	351
689	780	350
690	781	349
691	782	348
692	783	346
693	784	345
694	784	344
695	786	343
696	787	342
697	788	341
698	789	340
699	790	338
700	791	337
701	793	336
702	794	335
703	794	334
704	795	333
705	796	331
706	798	330
707	799	329
708	800	328
709	802	327
710	803	326
711	804	325
712	805	324
713	806	322
714	807	321
715	808	320
716	809	319
717	810	318
718	811	317
719	812	315
720	813	314
721	814	313
722	817	313
723	818	311
724	819	310
725	820	309
726	821	308
727	823	307
728	824	306
729	825	305
730	827	304
731	828	303
732	829	302
733	830	300
734	832	300
735	833	298
736	833	297
737	834	296
738	835	295
739	836	294
740	837	292
741	838	291
742	839	290
743	840	289
744	841	288
745	842	286
746	843	285
747	844	284
748	845	283
749	847	282
750	848	281
751	849	280
752	850	278
753	851	277
754	852	276
755	852	275
756	853	274
757	854	272
758	855	271
759	856	270
760	857	269
761	858	268
762	858	266
763	859	265
764	861	264
765	862	263
766	863	262
767	863	260
768	864	259
769	865	258
770	866	257
771	867	256
772	868	254
773	869	253
774	869	252
775	870	251
776	871	250
777	872	248
778	873	247
779	874	246
780	874	245
781	876	244
782	877	243
783	878	241
784	878	240
785	879	239
786	880	238
787	881	237
788	882	235
789	883	234
790	883	233
791	884	232
792	885	231
793	886	229
794	887	228
795	888	227
796	888	226
797	889	225
798	890	224
799	891	222
800	892	221
801	893	220
802	894	219
803	895	218
804	896	217
805	897	215
806	897	214
807	898	213
808	899	212
809	900	211
810	901	210
811	901	208
812	902	207
813	903	206
814	904	205
815	905	204
816	906	203
817	907	201
818	908	200
819	909	199
820	910	198
821	911	197
822	912	196
823	913	195
824	914	193
825	914	192
826	915	191
827	916	190
828	917	189
829	918	188
830	919	186
831	919	185
832	920	184
833	922	183
834	923	182
835	923	181
836	924	180
837	925	178
838	926	177
839	927	176
840	928	175
841	928	174
842	929	173
843	930	171
844	931	170
845	932	169
846	932	168
847	933	167
848	934	166
849	935	165
850	936	163
851	937	162
852	938	161
853	939	160
854	940	159
